hero| self.rect.x:450,self.rect.y:400,self.live:500,self.damage:10, self.experience:0
spider| self.rect.x:2186,self.rect.y:968,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2016,self.rect.y:998,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2016,self.rect.y:998,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2261,self.rect.y:868,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2146,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2116,self.rect.y:898,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2146,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:1946,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2086,self.rect.y:868,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2186,self.rect.y:968,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2016,self.rect.y:998,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2086,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2216,self.rect.y:938,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2256,self.rect.y:868,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2116,self.rect.y:1038,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2016,self.rect.y:938,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2216,self.rect.y:998,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2046,self.rect.y:968,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2086,self.rect.y:868,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:1946,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2216,self.rect.y:1138,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2186,self.rect.y:968,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:1946,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2186,self.rect.y:968,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2216,self.rect.y:998,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2186,self.rect.y:968,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2116,self.rect.y:898,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2116,self.rect.y:898,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2116,self.rect.y:1038,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2016,self.rect.y:998,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2016,self.rect.y:998,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2086,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2146,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2286,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:988,self.rect.y:1068,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:848,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:988,self.rect.y:1068,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:890,self.rect.y:970,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:799,self.rect.y:809,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:610,self.rect.y:1166,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:792,self.rect.y:1068,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:750,self.rect.y:1026,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:743,self.rect.y:851,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:890,self.rect.y:970,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:750,self.rect.y:1026,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:750,self.rect.y:1026,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:876,self.rect.y:872,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:673,self.rect.y:949,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:687,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:988,self.rect.y:1068,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:687,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:792,self.rect.y:893,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:750,self.rect.y:1026,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:610,self.rect.y:1061,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:876,self.rect.y:893,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:708,self.rect.y:1068,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:890,self.rect.y:1166,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:813,self.rect.y:1082,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:673,self.rect.y:914,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:687,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:680,self.rect.y:914,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:750,self.rect.y:1026,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:631,self.rect.y:1019,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:666,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:673,self.rect.y:942,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:666,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:575,self.rect.y:1019,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:897,self.rect.y:907,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:533,self.rect.y:1082,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:750,self.rect.y:1026,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:890,self.rect.y:1166,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:890,self.rect.y:970,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:708,self.rect.y:1068,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:673,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:687,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:547,self.rect.y:1068,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:848,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:848,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:687,self.rect.y:949,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:890,self.rect.y:970,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:897,self.rect.y:907,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:687,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:988,self.rect.y:1068,self.hp:100,self.vision:100,self.v:7,self.live_max:100
spider| self.rect.x:848,self.rect.y:928,self.hp:100,self.vision:100,self.v:7,self.live_max:100
